"","obs","pred"
"100681",5.6,14.9170813839619
"101013",17.53,16.7486603328908
"103797",19.33,18.8887997566587
"113706",13.01,13.2600528497059
"128522",18.24,16.9387226578645
"132848",15.23,15.0384862868323
"143730",14.3,14.4202734486765
"151881",17.4,16.4194499484924
"169778",5.25,13.8514906328333
"181260",14.8,15.0409507048284
"184452",7.21,15.2266635955467
"184538",16.94,16.5810505140691
"184809",21.58,14.3305142604626
"184934",5.77,13.7398351911456
"206690",8.92,15.464502753183
"214456",15.54,14.4738481640442
"214965",15.29,16.9981882021902
"225770",14.98,12.5388029780845
"233232",11.19,13.0278544294867
"234123",19.87,16.8152134904445
"236903",19.38,14.0130706371391
"241747",13.11,17.4479088313244
"252890",21.66,17.3406641741015
"298580",19.76,14.5849203670117
"307339",17.75,14.7305340279581
"308811",15.44,18.5082263175248
"314532",9.56,15.2095560261601
"333737",22.24,18.2780597374808
"339284",7.38,15.7106869167519
"362517",19.87,18.6185785655534
"373255",22.56,19.2142472196377
"384682",11.27,18.8304290687885
"387879",14.7,13.8714137185428
"389876",15.76,17.8357199295159
"390573",15.93,13.8207154625718
"401992",13.93,15.9069591989459
"403839",18.27,14.2673409913585
"420377",13.67,18.2830591591385
"421413",19.68,12.3370836721827
"425195",19.13,14.2511875928684
"427146",12.28,14.4780161678579
"430563",20.61,18.8859714055521
"431070",15.51,15.9119763389647
"434649",16.36,16.3338198707779
"453231",18.19,17.5292847601168
"471788",15.86,16.5771018597675
"488423",14.21,17.3769560268722
"498553",19.76,20.369898592119
"511582",9.57,14.676912690289
"513662",20.88,18.6660374095814
"516917",17.26,16.762943513308
"530919",19.04,17.5030875027161
"535210",19.25,15.6445506323788
"543444",5.88,9.18422659614571
"551970",16.13,13.0267762870562
"569382",16.76,13.9261725739708
"572863",10.07,13.9688032138649
"585670",8.89,11.6356697918923
"607759",16.93,16.4953929751119
"609736",16.86,16.3539002981419
"621635",12.17,12.8955760743096
"633482",17.38,14.30754949578
"657035",22.38,17.8875728530722
"659715",5.43,11.9061874732747
"667335",20.67,15.180536153886
"691534",16.36,12.1921572394976
"692563",10.7,12.5656753789443
"698443",15.36,15.1731432299869
"703943",20.19,15.4462859251279
"709288",9.96,13.5702034355432
"714027",15.58,15.7679026043452
"721729",11.96,15.0924304366326
"724679",1.73,4.55813794344431
"746016",18.81,16.3981480800419
"746326",13.86,10.7567959986001
"748754",17.12,15.4599652582352
"753068",18.72,17.5383011706581
"753551",4.49,4.8770516828881
"778292",14.6,14.1888513957185
"782630",0.17,3.0956044162435
"792092",15.94,19.2092422825926
"814313",15.28,14.9213953426915
"814949",12.31,12.3846244570121
"820694",21.68,18.1589193477237
"824476",11.55,15.5744457917704
"843065",20.35,18.9682562043411
"854094",20.4,18.4323595092898
"857471",13.87,15.5102958587032
"916549",12.78,13.6910829000357
"939296",16.95,15.7714539856861
"943823",15.21,13.1406185396784
"949964",16.56,14.6452354018437
"975508",26.06,15.0087418636118
"976531",5.65,14.8851886693125
"985170",14.64,13.6553831775433
"988596",17.18,15.9547168988307
"991902",8.33,12.0963051676586
