"","obs","pred"
"100681",5.6,16.4276000363648
"109477",14.74,17.8610249206245
"113706",13.01,13.3665694112328
"133537",14.4,15.9966841252717
"164647",15.52,14.5259205187899
"184934",5.77,14.7625945675873
"187948",4.16,12.469811968599
"236903",19.38,13.3270957793652
"237150",11.45,13.7013354638306
"241747",13.11,20.0778625075877
"269198",7.8,9.97556456187544
"295081",26.11,17.4338015376608
"420377",13.67,16.5461163582098
"420380",5.88,9.53347432463109
"490180",15.41,14.9846309959061
"492262",2.61,8.67872370021255
"513662",20.88,18.0376483065123
"543444",5.88,7.0027521588264
"551970",16.13,13.4347032321727
"589081",15.71,9.63442780095691
"609736",16.86,16.3424594516671
"625230",14.28,14.334709564197
"669831",3.12,7.33378401918761
"670277",23.09,19.6749289107874
"701998",20.11,17.3486851386547
"724679",1.73,2.55288207939585
"738052",15.13,11.1865580117125
"746326",13.86,11.1981502947137
"753551",4.49,4.58430880427845
"757726",16.65,12.6335003046368
"763012",12.13,7.17798850597702
"782630",0.17,1.0675210351268
"795613",10.74,17.2971846947091
"814313",15.28,12.5559901599874
"830183",21.31,18.8772725748794
"843065",20.35,17.1226325665602
"861845",4.4,7.76775544370769
"875699",20.45,20.4247524689752
"939296",16.95,16.9873946449557
"943823",15.21,13.3507010156453
"961948",2.33,3.19647202872686
"975508",26.06,14.4524690993274
"976531",5.65,12.5990600401962
"988596",17.18,17.274798069867
"103797",19.33,19.0728784061271
"125290",11.96,10.6163994802393
"128522",18.24,17.591102561246
"151881",17.4,16.2763002172782
"161178",16.2,14.6958329214125
"184538",16.94,15.082621385638
"184809",21.58,12.592457468676
"190469",19.02,14.9471682927516
"191697",15.77,16.7893691451188
"206690",8.92,14.0840984090058
"214965",15.29,15.4525209549053
"234123",19.87,14.9313785567576
"252890",21.66,19.5583827141826
"298580",19.76,14.468907319936
"314293",10.34,15.4591100870397
"314532",9.56,14.3529358746437
"333737",22.24,18.1125886531935
"367794",21.64,19.0961008840575
"373255",22.56,19.4387957079707
"387740",20.39,16.0799670810993
"389876",15.76,18.3714270202576
"403839",18.27,15.4243634521047
"430563",20.61,19.6529344034725
"431070",15.51,15.3319070801098
"434649",16.36,16.4639099823815
"453231",18.19,16.8336865383464
"466814",16.49,15.9066793540008
"477889",18.22,17.8225407308183
"488423",14.21,15.3294254908116
"504586",23.25,19.3199417370207
"511582",9.57,14.7951113002162
"530919",19.04,17.3242119120462
"535210",19.25,19.5850293959629
"569382",16.76,14.5654300606863
"572863",10.07,14.0478088365402
"585670",8.89,10.6341763048182
"607759",16.93,16.0327578694283
"657035",22.38,19.1724966247147
"694604",17.54,18.4345792639291
"748754",17.12,14.9326173312835
"789566",17.8,17.5669422027603
"814949",12.31,10.9208722973799
"821839",20.65,16.3762113913805
"851870",11.2,14.0324561904918
"872400",19.27,15.9976221804378
"915856",14.9,15.1203189917481
"916549",12.78,12.0986462894683
"938105",19.25,18.9596739929055
"965676",15.09,18.5726737294814
"973710",15.54,12.5796240224567
"987427",12.81,15.547565883396
"101013",17.53,14.854386820269
"107889",18.14,16.1736106208666
"205444",19.78,16.4284924703893
"214456",15.54,14.2238433102884
"225770",14.98,14.7518254695538
"264783",14.98,20.4994565522209
"308811",15.44,18.3824748586026
"350534",10.77,11.5272259383889
"362517",19.87,17.2030948454338
"378469",18.2,11.5609852778544
"384682",11.27,17.9020068399167
"390573",15.93,9.44451079182374
"401992",13.93,15.5498735824739
"411865",17.28,18.555274100589
"416227",19.33,17.7483539226922
"421413",19.68,14.1096529635528
"425195",19.13,14.456682334763
"429234",10.16,13.8778925538344
"440871",17.75,14.4026376853827
"498553",19.76,21.8371116483949
"514023",11.41,18.0231083866618
"516917",17.26,17.1158596789157
"538977",18.87,14.5382451834381
"545667",15.1,14.9677109177206
"573015",13.52,17.013438859496
"621635",12.17,12.3745860737593
"659715",5.43,10.6593740081274
"703943",20.19,15.8404464412717
"714027",15.58,16.7438251410856
"721729",11.96,14.2697952888523
"734962",4.17,11.4304629110092
"753068",18.72,18.2386099928998
"759010",6.37,5.75933624611243
"765757",8.16,11.1074465788966
"784766",18.16,15.2588291617253
"799033",9.97,12.9832534129454
"820694",21.68,17.0371111760433
"824476",11.55,15.9086892436896
"846280",15.7,16.3679329207467
"854094",20.4,17.4515318450904
"949964",16.56,15.7339980249456
"985170",14.64,15.8545691731588
"991902",8.33,13.254152109404
"132848",15.23,15.9538611192302
"143730",14.3,13.9173929180526
"169778",5.25,14.1204085388257
"171545",15.23,17.2420579815401
"181260",14.8,16.8823248894737
"184452",7.21,14.2387015666234
"197059",12.16,13.0619786080291
"224057",13.96,9.82574884267438
"230479",0.43,1.81351593133292
"233232",11.19,13.9856351412012
"239667",16.21,15.934791193023
"307339",17.75,14.0614228437285
"339284",7.38,15.5422452246692
"387879",14.7,14.2894006109552
"427146",12.28,13.8279257033709
"436457",6.6,14.8646969930272
"462928",19.14,16.5019822371967
"471788",15.86,18.498998491602
"472789",16.31,12.8081983399056
"482305",17.83,17.2511863865549
"506700",15.37,16.8234717914782
"519446",12.33,14.8621734596894
"533621",10.99,12.3622206608157
"539068",19.75,16.3566852094601
"554271",15.23,14.9416055200493
"633482",17.38,11.6642813860758
"636300",18.32,15.7346581438445
"667335",20.67,14.9322926675144
"691534",16.36,14.8408060574757
"692563",10.7,13.0350028222034
"698443",15.36,15.7815226103835
"709288",9.96,11.7857698464101
"710992",18.55,15.5206361821913
"731392",9.14,13.2585035504108
"746016",18.81,21.63446693968
"778292",14.6,15.1054185414636
"779710",15.13,17.4536176870309
"792092",15.94,19.5576864045323
"857471",13.87,12.7917097081305
"874905",12.47,16.7164334608165
"957723",10.01,11.1863093841631
