"","obs","pred"
"100681",2.84,3.29016475382569
"109477",1.65,1.71497519457298
"113706",1.04,1.78385249006534
"133537",0.23,0.503442018352748
"164647",0.62,0.552279339698487
"184934",0.11,0.478589390034403
"187948",0.05,0.457147926937578
"236903",0.24,0.806321749473478
"237150",0.11,0.693516646787663
"241747",1.43,2.0381032035696
"269198",0.2,0.0432248729623332
"295081",1.27,0.294519642548625
"420377",3.41,1.74892674478368
"420380",0.03,0.148306573911915
"490180",2.19,0.618981042323348
"492262",0.01,0.00216133677096278
"513662",0.66,1.48002818381343
"543444",0.02,0.42035879165555
"551970",3.73,1.91001826033286
"589081",0.08,0.162685089000316
"609736",0.11,1.07367712861954
"615167",1.1,0.961752842569659
"625230",0,0.561116961357484
"669831",0.01,0.0464963858783612
"670277",1.8,1.26350633755269
"701998",2.48,1.21011290929546
"724679",0.01,-0.0379312331097498
"738052",0.41,0.490519871830652
"746326",1.17,0.359547954908701
"753551",0.02,-0.0707413593720127
"757726",2.03,2.66394277130817
"763012",0.04,-0.141061346961259
"782630",0.01,0.112870069465954
"795613",0.01,1.25550735282264
"814313",3.38,1.80677817103179
"830183",0.28,1.39534176772468
"843065",1.49,0.646052715520219
"861845",0.07,0.473570058619173
"875699",1.4,2.09697920985753
"939296",2.26,2.04509992094222
"943823",0.08,0.105985872187142
"961948",0.18,0.0554823026548944
"975508",2.53,1.9876028855485
"976531",1.35,2.00096775121133
"988596",1.29,1.65017608584675
"103797",3.18,2.56673865329721
"125290",0.29,1.44103297210484
"128522",2.26,1.64802585195677
"151881",0.11,1.71462492612614
"161178",1.28,1.47215548145486
"184538",1.35,1.94293980435159
"184809",2.97,1.93589651439396
"190469",0.08,0.373949906979329
"191697",0.71,1.68019231407817
"206690",0,0.810675213692
"214965",2.22,2.50820006478631
"234123",3.68,1.34293050064465
"252890",1.91,1.75097659588915
"298580",1.5,1.09357053350185
"314293",2.28,2.6118748883135
"314532",3.73,3.04231039888921
"333737",2.74,2.12852619164848
"367794",0.41,0.961146977882746
"373255",1.54,1.91637000504448
"387740",0.96,1.12504802411216
"389876",1.84,3.04528598528767
"403839",3.15,1.87916514472784
"430563",0.56,0.90737469550637
"431070",0.19,1.47351585956755
"434649",0.66,1.29886661509658
"453231",1.36,1.67813873216449
"466814",2.4,2.7395545761174
"477889",0.55,1.1560991050028
"488423",2.7,2.45807018301474
"504586",1.84,1.33247831046495
"511582",2.56,3.16245966223577
"530919",2.8,2.31790379152642
"535210",2.2,1.5437605384267
"569382",1.96,2.32178466443014
"572863",0.17,0.799856357076388
"585670",0.01,0.341929722440998
"607759",2.17,1.72455910613264
"657035",0.42,1.1400000768709
"694604",2.21,1.16971301678028
"748754",0.27,1.57326823951127
"789566",1.5,1.78193026774379
"814949",2.83,2.065696661867
"821839",1.68,1.87903683214866
"851870",1.42,2.59769763516805
"872400",2.22,1.16353551877596
"915856",2.61,2.14105667134494
"916549",3.68,2.04065483259246
"938105",2.74,2.29719751128787
"965676",3.43,2.37167418709531
"973710",2.17,1.49647008441906
"987427",2.29,1.97894134455923
"101013",2.46,0.74581461126236
"107889",0.06,0.53853400832248
"205444",0.28,0.43816453883257
"214456",0.93,1.00308678015211
"225770",0.66,1.4082839177413
"264783",2.41,2.2853036690594
"308811",1.65,1.13347005930557
"350534",0.04,0.0692489807508137
"362517",0.7,0.986074097084334
"378469",0.19,0.234168156209439
"384682",2.28,1.59358010685661
"390573",0,0.414486709112417
"401992",1.58,1.87953093020184
"411865",0.9,1.02560928719702
"416227",1.8,0.637119191919222
"421413",0.24,0.609605924853245
"425195",0.53,0.603818583403478
"429234",0.23,0.740227137143661
"440871",0.01,0.517902886474317
"498553",1.84,1.48376368775662
"514023",0.17,0.757029668975488
"516917",1.09,1.32556811783823
"538977",0.21,0.545176074723695
"545667",0.63,1.12637596924233
"573015",0.64,1.35015443834174
"621635",0.14,0.302536173040159
"659715",0.08,0.374894443520704
"703943",1.61,1.0206355521172
"714027",2.05,1.2950367807301
"721729",0.66,1.0789090499934
"734962",0.13,1.05286345191161
"753068",0.75,0.847159763532537
"759010",0.03,0.0262853686824729
"765757",0.08,0.0697946676185069
"784766",0.13,0.784455851404363
"799033",0.01,0.123304020742548
"820694",1.07,1.42971662779705
"824476",3.65,1.52361784870949
"846280",0.09,1.30288206906676
"854094",2.24,1.37765316509342
"949964",2.07,1.06657064787256
"985170",1.24,1.4365339317323
"991902",0.11,1.13660833335513
"132848",0.1,1.29922790854245
"143730",0.63,0.641478311712187
"169778",1.79,1.66768967484377
"171545",0.34,0.874817770678689
"181260",0.72,1.12381856947332
"184452",2.36,2.13876387207852
"197059",0.96,1.53589463656706
"224057",0.89,0.131628955669691
"230479",0.05,-0.11195265621241
"233232",0.1,0.383024560212148
"239667",0.25,1.21724396233028
"307339",0.35,0.472055863402316
"339284",1.24,1.91464123067577
"387879",0.56,1.04192044112074
"427146",1.65,1.26172879910713
"436457",2.01,2.23513027821306
"462928",0.89,1.27665142072922
"471788",0.22,0.892604260729876
"472789",1.56,1.07939521759092
"482305",1.2,0.764402585650517
"506700",2.25,1.36153506393777
"519446",1.34,0.822638728574471
"533621",0.9,0.774193940412905
"539068",1.92,1.39045399283172
"554271",0.71,1.04302399018916
"633482",2.88,2.30478200687634
"636300",0.77,2.16113200887349
"667335",0.57,0.701002674293634
"691534",2.56,1.37923987478553
"692563",3.66,1.78211673878696
"698443",2.18,2.45404576986935
"709288",1.39,0.762084377848211
"710992",0.14,0.510167546947266
"731392",0.76,1.15976906622867
"746016",0.97,0.735857398189427
"778292",2.14,0.525291546726107
"779710",2.5,1.53026090663407
"792092",3.16,1.84418420185034
"857471",2.41,1.67487336759487
"874905",2.81,1.87513059446131
"957723",0.04,1.20154928009383
