"","obs","pred"
"100681",14.79,16.2051098099545
"109477",25.7,18.7425985192224
"113706",4.95,12.2449712475815
"133537",7.13,12.6871656763614
"164647",4.6,8.75410973685774
"184934",6.61,10.1107915450738
"187948",4.74,8.02492880846643
"236903",17.31,12.4712270646608
"237150",13.33,10.7710088276168
"241747",39.31,22.6539107367513
"269198",3.41,7.34110520434078
"295081",12.33,11.0626178528746
"420377",29.54,17.0040339393974
"420380",4.48,6.07716547195502
"490180",4.02,20.1179243197366
"492262",5.19,6.85281586759051
"513662",14.42,15.7584312738961
"543444",4.44,6.8210265659029
"609736",13.76,18.1849171237546
"615167",13.91,12.7024885684811
"625230",6.74,9.01794880836846
"669831",4.48,4.21826769167461
"670277",17.65,19.4294535303078
"701998",21.06,19.8488763816346
"724679",3.53,6.21537568081901
"738052",3.99,8.58476201477938
"746326",12.6,8.69793503842303
"753551",3.62,5.68294265573535
"757726",12.25,17.4618816920143
"763012",3.04,6.48000197939423
"782630",5.59,5.25022962312915
"795613",18.65,16.1684747663104
"814313",10.34,16.0488922581873
"830183",21.4,21.2127165786025
"843065",25.35,13.7635933903457
"861845",11.67,7.74342000161262
"875699",35,22.0706257413688
"939296",28.99,18.0840338875005
"943823",25.04,7.6412193189595
"961948",4.69,8.91440211320241
"975508",23.1,17.4207800497865
"976531",53.15,19.0855696898476
"988596",39.5,18.6598033460224
"103797",33.81,22.648430446893
"125290",5.54,9.54009048033911
"128522",21.66,19.0644927488517
"151881",23.94,17.545264988352
"161178",9.31,17.269575756218
"184538",13.43,17.8306718983497
"184809",5.38,17.3735480096225
"190469",5.7,19.6065259084878
"191697",15.12,16.2324393131472
"206690",3.45,11.1344067481011
"214965",21.23,22.5064056587599
"234123",5.96,15.9399223470583
"252890",21.06,23.6488634555955
"298580",10.83,13.8798753557761
"314293",9.68,12.7227969845778
"314532",21.93,20.9139323407771
"333737",33.84,20.4195300998422
"367794",38.57,17.5215696460323
"373255",18.28,22.0971006228367
"387740",22.75,18.3905191556974
"389876",18.47,26.0542591729145
"403839",16.67,16.0051838161996
"430563",11.57,17.2095578293705
"431070",22,16.2752937098442
"434649",8.5,16.1541315811131
"453231",16.47,20.5468499172903
"466814",8.1,18.0274960647077
"477889",7.82,17.0365343151244
"488423",17.61,16.5063388399474
"504586",15,17.1144530512087
"511582",12.14,18.629611339498
"530919",14.97,22.3390463792134
"569382",16.96,21.1069893734319
"572863",3.33,10.1306463202081
"585670",6.77,6.79872951795614
