"","obs","pred"
"100681",5.2,11.5349053038434
"109477",15.15,12.235292607279
"113706",9.72,10.3654478901792
"133537",12.64,9.90067290106337
"164647",5.23,8.76398977844748
"184934",8.08,8.82514277442971
"187948",4.34,8.8613068716154
"236903",9.73,9.69529189174409
"237150",15.46,9.34477991875437
"241747",14.99,14.534349496567
"269198",9.17,8.03464549538629
"295081",12.6,9.67439744796613
"420377",13.99,13.1337467418561
"420380",6.33,8.33191295221566
"490180",9.8,11.0358412240182
"492262",5.1,8.25085902627251
"513662",12.95,11.3767790650515
"543444",8.02,8.31942113293081
"551970",16.39,12.7881795985885
"589081",7.87,8.41076950106018
"609736",12.75,11.255865077688
"625230",3.61,8.89606867727485
"669831",6.98,8.06664277955806
"670277",9.05,13.003723697644
"701998",11.67,12.9124945310736
"724679",7.46,8.22662799619089
"738052",8.63,8.63493545820543
"746326",7.95,8.24799327133263
"753551",4.17,7.90811619875973
"757726",7.89,11.8818432255003
"763012",5.43,8.2297789673514
"782630",10.47,7.84042188837976
"795613",8.16,11.1684426030492
"814313",9.69,11.0915252980135
"830183",14.55,12.932973752423
"843065",10.92,10.592387902892
"861845",4.25,9.08913531993546
"875699",14.39,15.1643412406881
"939296",13.2,12.2213673447053
"943823",7.74,8.63516047825198
"961948",14.12,7.6654258480651
"975508",8.57,11.344468289389
"976531",11.68,12.6758662334399
"988596",15.18,11.4550145049184
"103797",16.99,14.1007212050225
"125290",8.13,9.68388390496281
"128522",11.4,12.9805813898996
"151881",14.15,12.4008001380519
"161178",10.03,10.8269730814791
"184538",13.03,11.2049122642334
"184809",13.31,10.9935326102506
"190469",10.56,11.5858320075113
"191697",7.12,10.6316617842738
"206690",4.97,9.3066964912707
"214965",14.56,12.8742321350294
"234123",7.32,10.1459590890173
"252890",18.18,14.2696591241361
"298580",9.57,10.0064155168853
"314293",8.58,10.9229534743128
"314532",12.07,13.1944328413034
"333737",13.94,13.1294345762147
"367794",13.86,12.0689557365474
"373255",14.59,14.1494356377391
"387740",11,11.8946862278398
"389876",14.33,14.9119196208811
"403839",12.61,12.0412117170103
"430563",16.7,12.1482395312788
"431070",9.58,10.4511551000335
"434649",7.93,10.135777207652
"453231",12.57,13.0363531768138
"466814",10.54,11.5265611837301
"477889",9.02,11.2067554035166
