"","obs","pred"
"100681",3.71,8.32743366487294
"109477",10.68,9.82172730012897
"113706",6.82,7.22362879075173
"133537",9.14,6.89096357069388
"164647",3.62,5.81143571059249
"184934",4.85,5.67585803524995
"187948",2.56,5.80103870324288
"236903",7.05,6.74972126642182
"237150",12.4,6.7648295452799
"241747",15.96,11.6507865020522
"269198",4.18,5.29585688750532
"295081",8.13,6.45410987190424
"420377",12.92,10.1871519411873
"420380",3.01,5.24660920838066
"490180",8.54,8.20711680233789
"492262",3.25,5.41530848291992
"513662",10.75,9.06336178347416
"543444",5.82,5.18672182058269
"551970",12.3,9.94581961660384
"589081",5.63,5.24328225801327
"609736",8.52,8.2380164074135
"625230",1.53,5.70294402878486
"669831",2.84,5.33828543374205
"670277",9.41,10.386096608082
"701998",8.18,10.3459988882955
"724679",4.83,4.95061536047579
"738052",5.54,5.15029645229077
"746326",6.68,5.21226884473335
"753551",3.34,5.52622843172202
"757726",6.62,8.35389285239402
"763012",3.36,4.92882845564427
"782630",5.11,5.10758749245106
"795613",3.18,8.23178444727419
"814313",6.86,7.73262885080297
"830183",11.32,10.0238587298178
"843065",5.2,7.65249504343395
"861845",3.14,6.76482744311853
"875699",8.81,12.8206397412242
"939296",10.85,9.22445562817436
"943823",6.08,5.49143282810023
"961948",7.9,5.0714141788901
"975508",5.85,8.43374519065358
"976531",8.65,9.84609295380638
"988596",9.85,8.76988969312129
"103797",13.16,12.1691321685537
"125290",4.55,7.05148998782843
"128522",7.58,10.5377536188287
"151881",12.64,9.5171434101961
"161178",6.55,8.17282801744357
"184538",11.2,8.56595437892037
"184809",9.36,8.65459516790958
"190469",9.01,8.78573556017673
"191697",4.38,7.59605522698058
"206690",2.96,6.2499712856083
"214965",10.09,10.3370387793932
"234123",4.01,7.43895891347945
"252890",14.34,11.0963259371078
"298580",5.5,7.22271552969851
"314293",3.96,8.2857009973876
"314532",8.35,10.73653309788
"333737",12.82,9.83957381796892
"367794",11.05,9.17197709763491
"373255",13.2,10.9590367431315
"387740",10.05,8.90898938355863
"389876",12.53,12.0255099473212
"403839",9.54,9.33268815860639
"430563",12.26,9.27303650262104
"431070",6.03,7.17235883338305
"434649",5.37,7.25529440090154
"453231",11.04,10.8093584371823
"466814",6.13,8.19722875352797
"477889",6.67,8.28666016080611
"488423",15.75,11.1922033154812
"504586",9.59,10.3789901545238
"511582",5.86,8.83685291334107
"530919",13.05,10.7842925056495
"535210",11.54,8.85019342473938
"569382",11.44,9.78930901283208
"572863",3.89,5.65649430910899
"585670",2.15,5.52401765804757
"607759",6.78,8.09111046464495
"657035",8.63,11.592548424493
"694604",4.53,6.78659421698662
"748754",7.22,7.850984976047
"789566",8.11,10.8276309318555
"814949",5.92,6.9123929892397
"821839",13.13,11.6151612881911
"851870",4.63,8.28114401776909
"872400",9.7,8.42809037931745
"915856",9.82,9.02713505383445
"916549",7.07,8.48518812793013
"938105",13.89,10.8609674260945
"965676",10.73,11.6637530954658
"973710",5.08,6.79985632424784
"987427",7.36,7.85739473056281
"101013",6.58,7.05361271477432
"107889",4.75,6.53635797541862
"205444",14.28,9.01470093575212
"214456",8.82,6.09844545029307
"225770",11.33,9.95581256073441
"264783",12.99,12.2078337849709
"308811",12.33,9.33173352347656
"350534",8.95,5.49329749090555
"362517",11.14,10.8507921014306
"378469",8.48,5.55555884385751
"384682",12.33,9.64591167941361
"390573",4.9,5.58591328133784
"401992",12.84,9.59580145116065
"411865",7.61,7.97556258655839
"416227",4.95,8.18095254697317
"421413",6.96,6.5290059281013
"425195",9.2,6.98600489075789
"429234",7.7,5.63257663241465
"440871",4.79,6.28196456710988
"498553",13.21,10.6095249241072
"514023",12.32,8.4848962471008
"516917",13.94,10.6696536445323
"538977",10.45,7.13417624517985
"545667",8.88,7.92245424399174
"573015",12.04,9.75049586734685
"621635",11.37,5.91578723551805
"659715",4.24,5.4956877501487
"703943",10.32,7.43491350735533
"714027",14.62,8.785602747064
"721729",7.67,7.69100343424591
"734962",3.04,6.24356567050803
"753068",12.9,9.31241573888433
"759010",4.53,5.27053942044902
"765757",5.49,5.55507782086627
"784766",7.1,7.6235885030825
"799033",5.84,5.95895310842252
"820694",7.85,11.2278312680959
"824476",6.69,9.4166441348731
"846280",9.01,9.4842790997872
"854094",8.19,10.0999131641063
"949964",7.33,7.66049107642403
"985170",8.1,9.47166279879409
"991902",1.17,7.18358701646161
